ID,Exercise_Duration,Body_Temperature(F),BPM,Height(Feet),Height(Remainder_Inches),Weight(lb),Weight_Status,Gender,Age,Calories_Burned
TRAIN_0970,5.0,102.0,81.0,6.0,2.0,198.4,Overweight,M,57,19.0
TRAIN_0971,12.0,103.5,98.0,5.0,9.0,172.0,Overweight,M,34,59.0
TRAIN_0972,17.0,103.8,103.0,6.0,0.0,196.2,Overweight,M,51,115.0
TRAIN_0973,18.0,105.3,91.0,6.0,4.0,209.4,Overweight,M,33,76.0
TRAIN_0974,14.0,104.5,91.0,5.0,11.0,180.8,Overweight,M,23,48.0
TRAIN_0975,25.0,105.4,105.0,6.0,4.0,211.6,Overweight,M,24,147.0
TRAIN_0976,13.0,104.5,99.0,5.0,12.0,185.2,Overweight,M,30,65.0
TRAIN_0977,16.0,104.9,100.0,5.0,10.0,165.3,Normal Weight,M,27,77.0
TRAIN_0978,2.0,101.1,88.0,4.0,12.0,114.6,Normal Weight,F,69,10.0
TRAIN_0979,21.0,105.1,94.0,6.0,0.0,178.6,Normal Weight,M,48,106.0
TRAIN_0980,16.0,104.4,98.0,5.0,7.0,141.1,Normal Weight,F,60,93.0
TRAIN_0981,11.0,104.4,90.0,5.0,9.0,154.3,Normal Weight,F,55,52.0
TRAIN_0982,12.0,104.4,97.0,6.0,1.0,189.6,Normal Weight,M,22,53.0
TRAIN_0983,25.0,106.3,103.0,5.0,8.0,174.2,Overweight,M,35,144.0
TRAIN_0984,4.0,102.0,87.0,5.0,8.0,147.7,Normal Weight,F,42,17.0
TRAIN_0985,6.0,102.9,84.0,5.0,9.0,147.7,Normal Weight,F,26,22.0
TRAIN_0986,20.0,104.9,99.0,5.0,5.0,138.9,Normal Weight,F,34,109.0
TRAIN_0987,18.0,105.1,93.0,6.0,2.0,194.0,Normal Weight,M,58,100.0
TRAIN_0988,17.0,104.2,107.0,6.0,0.0,172.0,Normal Weight,F,28,102.0
TRAIN_0989,3.0,101.8,86.0,5.0,8.0,176.4,Overweight,M,78,16.0
TRAIN_0990,23.0,105.1,95.0,5.0,8.0,154.3,Normal Weight,F,22,108.0
TRAIN_0991,9.0,103.6,90.0,5.0,11.0,189.6,Overweight,M,32,34.0
TRAIN_0992,17.0,104.7,93.0,6.0,0.0,194.0,Overweight,M,39,79.0
TRAIN_0993,8.0,103.6,79.0,5.0,11.0,174.2,Normal Weight,M,29,15.0
TRAIN_0994,29.0,105.8,108.0,5.0,7.0,156.5,Normal Weight,F,35,183.0
TRAIN_0995,16.0,104.5,100.0,5.0,7.0,160.9,Obese,M,27,77.0
TRAIN_0996,29.0,105.4,118.0,6.0,4.0,207.2,Obese,M,49,261.0
TRAIN_0997,3.0,101.5,85.0,5.0,2.0,130.1,Normal Weight,F,41,12.0
TRAIN_0998,16.0,104.4,98.0,6.0,0.0,189.6,Overweight,M,45,90.0
TRAIN_0999,9.0,103.1,89.0,6.0,6.0,218.3,Obese,M,78,55.0
TRAIN_1000,3.0,101.5,83.0,6.0,8.0,235.9,Overweight,M,70,15.0
TRAIN_1001,13.0,104.5,91.0,5.0,11.0,174.2,Normal Weight,M,28,47.0
TRAIN_1002,20.0,105.8,101.0,5.0,10.0,165.3,Normal Weight,M,27,100.0
TRAIN_1003,28.0,106.0,101.0,6.0,0.0,187.4,Overweight,M,74,209.0
TRAIN_1004,29.0,106.0,110.0,5.0,0.0,110.2,Normal Weight,F,22,191.0
TRAIN_1005,23.0,104.5,100.0,5.0,5.0,134.5,Normal Weight,F,37,129.0
TRAIN_1006,10.0,104.2,96.0,6.0,9.0,227.1,Normal Weight,M,28,49.0
TRAIN_1007,28.0,105.8,101.0,5.0,8.0,154.3,Normal Weight,F,54,166.0
TRAIN_1008,14.0,104.5,94.0,5.0,5.0,149.9,Normal Weight,F,39,69.0
TRAIN_1009,22.0,105.3,103.0,5.0,5.0,125.7,Normal Weight,F,28,129.0
TRAIN_1010,13.0,104.4,94.0,5.0,10.0,169.8,Normal Weight,F,30,60.0
TRAIN_1011,18.0,104.9,102.0,5.0,6.0,147.7,Normal Weight,F,75,116.0
TRAIN_1012,13.0,103.8,97.0,6.0,0.0,183.0,Normal Weight,M,74,89.0
TRAIN_1013,20.0,104.7,103.0,5.0,10.0,163.1,Normal Weight,F,37,115.0
TRAIN_1014,24.0,104.7,104.0,6.0,0.0,194.0,Overweight,M,37,149.0
TRAIN_1015,14.0,104.0,101.0,5.0,8.0,165.3,Overweight,F,44,79.0
TRAIN_1016,16.0,104.4,98.0,6.0,6.0,200.6,Normal Weight,M,21,73.0
TRAIN_1017,13.0,104.2,100.0,5.0,7.0,163.1,Overweight,F,76,80.0
TRAIN_1018,3.0,102.0,87.0,5.0,11.0,189.6,Overweight,M,48,12.0
TRAIN_1019,14.0,104.2,91.0,5.0,1.0,116.8,Normal Weight,F,42,68.0
TRAIN_1020,3.0,101.8,83.0,6.0,1.0,189.6,Overweight,M,26,7.0
TRAIN_1021,23.0,105.3,97.0,6.0,1.0,167.6,Normal Weight,F,26,113.0
TRAIN_1022,30.0,105.6,108.0,5.0,11.0,187.4,Overweight,M,75,257.0
TRAIN_1023,13.0,104.4,96.0,5.0,5.0,147.7,Normal Weight,F,65,73.0
TRAIN_1024,22.0,105.1,100.0,6.0,2.0,209.4,Overweight,M,53,143.0
TRAIN_1025,6.0,102.6,84.0,6.0,11.0,244.7,Overweight,M,29,20.0
TRAIN_1026,17.0,104.7,94.0,6.0,1.0,198.4,Overweight,M,46,88.0
TRAIN_1027,10.0,103.5,90.0,5.0,10.0,158.7,Normal Weight,F,27,42.0
TRAIN_1028,28.0,105.1,115.0,6.0,9.0,244.7,Overweight,M,50,251.0
TRAIN_1029,16.0,104.9,101.0,5.0,6.0,145.5,Normal Weight,F,52,95.0
TRAIN_1030,17.0,104.2,95.0,6.0,1.0,180.8,Normal Weight,M,38,81.0
TRAIN_1031,2.0,100.9,79.0,5.0,3.0,130.1,Normal Weight,F,42,7.0
TRAIN_1032,20.0,104.7,103.0,6.0,4.0,191.8,Normal Weight,M,50,133.0
TRAIN_1033,13.0,104.0,98.0,4.0,11.0,108.0,Normal Weight,F,23,69.0
TRAIN_1034,1.0,100.6,88.0,6.0,2.0,202.8,Overweight,M,24,3.0
TRAIN_1035,28.0,105.6,101.0,5.0,1.0,136.7,Overweight,M,63,180.0
TRAIN_1036,14.0,104.0,94.0,6.0,5.0,213.8,Overweight,M,22,58.0
TRAIN_1037,19.0,104.7,99.0,5.0,8.0,154.3,Normal Weight,F,47,106.0
TRAIN_1038,2.0,100.4,81.0,6.0,4.0,220.5,Overweight,M,24,5.0
TRAIN_1039,10.0,103.8,81.0,6.0,4.0,205.0,Obese,M,54,37.0
TRAIN_1040,5.0,102.6,84.0,5.0,9.0,167.6,Normal Weight,M,49,18.0
TRAIN_1041,12.0,104.0,86.0,5.0,11.0,178.6,Normal Weight,M,41,42.0
TRAIN_1042,10.0,103.1,97.0,5.0,10.0,147.7,Normal Weight,F,46,54.0
TRAIN_1043,19.0,104.5,109.0,5.0,7.0,147.7,Normal Weight,F,27,120.0
TRAIN_1044,20.0,105.4,93.0,6.0,0.0,180.8,Normal Weight,F,25,88.0
TRAIN_1045,25.0,105.6,104.0,5.0,11.0,191.8,Overweight,M,23,138.0
TRAIN_1046,10.0,103.3,92.0,6.0,1.0,183.0,Normal Weight,M,24,37.0
TRAIN_1047,21.0,105.3,105.0,5.0,10.0,178.6,Overweight,M,55,148.0
TRAIN_1048,17.0,104.7,96.0,6.0,5.0,227.1,Overweight,M,34,88.0
TRAIN_1049,4.0,102.2,83.0,5.0,10.0,183.0,Overweight,M,42,13.0
TRAIN_1050,17.0,104.9,94.0,5.0,5.0,134.5,Normal Weight,F,26,81.0
TRAIN_1051,15.0,104.4,99.0,6.0,0.0,202.8,Overweight,M,51,93.0
TRAIN_1052,7.0,102.2,89.0,5.0,3.0,136.7,Normal Weight,F,28,30.0
TRAIN_1053,23.0,104.9,98.0,6.0,3.0,209.4,Overweight,M,57,147.0
TRAIN_1054,27.0,105.4,97.0,6.0,2.0,185.2,Normal Weight,M,21,116.0
TRAIN_1055,19.0,104.2,100.0,6.0,6.0,227.1,Overweight,M,30,106.0
TRAIN_1056,6.0,102.4,87.0,5.0,6.0,145.5,Normal Weight,M,40,20.0
TRAIN_1057,13.0,103.8,85.0,5.0,3.0,138.9,Normal Weight,F,70,60.0
TRAIN_1058,25.0,105.3,118.0,5.0,7.0,152.1,Normal Weight,F,37,186.0
TRAIN_1059,6.0,102.4,87.0,6.0,8.0,240.3,Overweight,M,36,24.0
TRAIN_1060,14.0,104.7,88.0,6.0,5.0,216.1,Overweight,M,34,54.0
TRAIN_1061,28.0,106.0,108.0,6.0,6.0,229.3,Overweight,M,61,232.0
TRAIN_1062,13.0,104.0,96.0,6.0,5.0,196.2,Normal Weight,M,22,56.0
TRAIN_1063,18.0,104.9,105.0,5.0,7.0,158.7,Normal Weight,M,66,133.0
TRAIN_1064,30.0,105.3,115.0,6.0,2.0,207.2,Overweight,M,27,225.0
TRAIN_1065,16.0,104.7,98.0,5.0,8.0,143.3,Normal Weight,F,50,89.0
TRAIN_1066,11.0,104.0,92.0,6.0,2.0,180.8,Normal Weight,F,66,55.0
TRAIN_1067,9.0,103.5,91.0,5.0,9.0,152.1,Normal Weight,F,56,44.0
TRAIN_1068,1.0,100.0,81.0,5.0,9.0,163.1,Normal Weight,F,48,4.0
TRAIN_1069,25.0,105.4,107.0,5.0,6.0,145.5,Normal Weight,M,22,136.0
TRAIN_1070,14.0,103.8,94.0,5.0,11.0,189.6,Overweight,M,59,80.0
TRAIN_1071,22.0,104.7,95.0,5.0,3.0,127.9,Normal Weight,F,26,109.0
TRAIN_1072,10.0,103.6,89.0,5.0,1.0,121.3,Normal Weight,F,43,46.0
TRAIN_1073,4.0,102.2,86.0,5.0,10.0,189.6,Overweight,M,43,15.0
TRAIN_1074,20.0,105.3,97.0,5.0,2.0,134.5,Normal Weight,M,45,99.0
TRAIN_1075,14.0,104.4,94.0,5.0,6.0,141.1,Normal Weight,F,59,75.0
TRAIN_1076,9.0,103.5,89.0,5.0,8.0,154.3,Normal Weight,F,32,38.0
TRAIN_1077,21.0,105.4,97.0,5.0,1.0,114.6,Normal Weight,F,66,125.0
TRAIN_1078,10.0,103.5,85.0,5.0,6.0,152.1,Normal Weight,M,44,33.0
TRAIN_1079,11.0,104.0,94.0,5.0,9.0,160.9,Normal Weight,F,27,51.0
TRAIN_1080,26.0,104.5,108.0,5.0,7.0,149.9,Normal Weight,F,29,162.0
TRAIN_1081,25.0,105.3,100.0,5.0,1.0,125.7,Normal Weight,F,37,142.0
TRAIN_1082,5.0,102.4,82.0,5.0,5.0,158.7,Overweight,M,33,12.0
TRAIN_1083,14.0,104.5,92.0,6.0,3.0,218.3,Overweight,M,68,86.0
TRAIN_1084,7.0,102.9,96.0,5.0,10.0,158.7,Normal Weight,F,42,36.0
TRAIN_1085,2.0,100.6,77.0,5.0,7.0,141.1,Normal Weight,F,31,6.0
TRAIN_1086,27.0,105.6,106.0,5.0,4.0,127.9,Normal Weight,F,63,183.0
TRAIN_1087,30.0,106.2,110.0,5.0,5.0,147.7,Obese,F,68,215.0
TRAIN_1088,16.0,104.7,95.0,5.0,7.0,163.1,Overweight,F,78,90.0
TRAIN_1089,7.0,103.1,79.0,5.0,6.0,145.5,Normal Weight,F,22,21.0
TRAIN_1090,3.0,101.8,91.0,6.0,9.0,244.7,Overweight,M,25,12.0
TRAIN_1091,26.0,104.9,107.0,5.0,10.0,183.0,Overweight,M,41,175.0
TRAIN_1092,2.0,100.8,77.0,6.0,8.0,238.1,Overweight,M,42,6.0
TRAIN_1093,13.0,104.2,92.0,5.0,7.0,158.7,Normal Weight,F,28,58.0
TRAIN_1094,14.0,103.8,87.0,6.0,0.0,180.8,Normal Weight,M,22,39.0
TRAIN_1095,17.0,104.9,95.0,5.0,2.0,123.5,Normal Weight,F,61,95.0
TRAIN_1096,16.0,103.8,98.0,5.0,9.0,183.0,Overweight,M,46,90.0
TRAIN_1097,10.0,103.6,94.0,6.0,3.0,196.2,Normal Weight,M,66,61.0
TRAIN_1098,10.0,103.1,83.0,5.0,12.0,187.4,Overweight,M,31,27.0
TRAIN_1099,25.0,104.9,103.0,5.0,10.0,167.6,Normal Weight,M,26,131.0
TRAIN_1100,18.0,104.2,93.0,5.0,0.0,114.6,Normal Weight,F,33,89.0
TRAIN_1101,14.0,104.2,97.0,5.0,4.0,145.5,Overweight,F,72,82.0
TRAIN_1102,27.0,105.3,103.0,5.0,11.0,169.8,Normal Weight,M,53,178.0
TRAIN_1103,19.0,104.5,100.0,5.0,11.0,174.2,Normal Weight,M,34,100.0
TRAIN_1104,16.0,104.9,99.0,5.0,9.0,163.1,Normal Weight,F,38,86.0
TRAIN_1105,11.0,104.0,96.0,6.0,6.0,218.3,Overweight,M,43,61.0
TRAIN_1106,20.0,105.1,95.0,5.0,4.0,156.5,Overweight,M,28,81.0
TRAIN_1107,26.0,105.1,109.0,6.0,3.0,194.0,Normal Weight,M,47,193.0
TRAIN_1108,10.0,103.5,95.0,6.0,2.0,205.0,Overweight,M,32,47.0
TRAIN_1109,16.0,104.7,94.0,4.0,10.0,116.8,Normal Weight,F,34,81.0
TRAIN_1110,13.0,104.2,91.0,5.0,10.0,158.7,Normal Weight,F,35,58.0
TRAIN_1111,25.0,105.4,110.0,6.0,11.0,255.7,Overweight,M,76,240.0
TRAIN_1112,13.0,104.4,99.0,6.0,4.0,220.5,Overweight,M,68,94.0
TRAIN_1113,18.0,104.5,100.0,6.0,1.0,200.6,Overweight,M,28,94.0
TRAIN_1114,17.0,104.4,96.0,5.0,12.0,183.0,Overweight,M,70,110.0
TRAIN_1115,25.0,105.8,109.0,6.0,2.0,200.6,Overweight,M,45,185.0
TRAIN_1116,7.0,103.3,88.0,6.0,1.0,196.2,Overweight,F,66,31.0
TRAIN_1117,4.0,102.6,80.0,4.0,12.0,116.8,Normal Weight,F,25,14.0
TRAIN_1118,7.0,103.1,86.0,4.0,10.0,108.0,Normal Weight,F,67,34.0
TRAIN_1119,24.0,105.1,104.0,6.0,6.0,213.8,Normal Weight,M,22,136.0
TRAIN_1120,5.0,102.6,87.0,5.0,7.0,156.5,Normal Weight,F,24,19.0
TRAIN_1121,14.0,104.4,86.0,6.0,10.0,231.5,Normal Weight,M,20,42.0
TRAIN_1122,14.0,104.0,99.0,5.0,11.0,160.9,Normal Weight,F,26,72.0
TRAIN_1123,29.0,104.7,110.0,6.0,8.0,246.9,Overweight,M,63,257.0
TRAIN_1124,6.0,103.1,85.0,6.0,0.0,185.2,Overweight,M,33,18.0
TRAIN_1125,20.0,104.9,98.0,6.0,0.0,165.3,Normal Weight,F,29,102.0
TRAIN_1126,27.0,105.8,114.0,5.0,10.0,189.6,Overweight,M,48,221.0
TRAIN_1127,5.0,101.7,89.0,5.0,4.0,130.1,Normal Weight,F,56,24.0
TRAIN_1128,11.0,103.6,94.0,5.0,4.0,143.3,Normal Weight,F,29,53.0
TRAIN_1129,7.0,103.3,86.0,5.0,1.0,121.3,Normal Weight,F,76,34.0
TRAIN_1130,16.0,104.9,100.0,5.0,7.0,167.6,Overweight,M,52,97.0
TRAIN_1131,28.0,105.4,102.0,5.0,1.0,119.0,Normal Weight,F,29,162.0
TRAIN_1132,13.0,104.2,93.0,5.0,3.0,138.9,Obese,F,27,61.0
TRAIN_1133,21.0,105.6,106.0,6.0,7.0,233.7,Overweight,M,38,146.0
TRAIN_1134,2.0,100.0,73.0,5.0,5.0,136.7,Normal Weight,F,39,6.0
TRAIN_1135,30.0,106.3,117.0,4.0,12.0,127.9,Overweight,F,51,232.0
TRAIN_1136,28.0,105.4,114.0,5.0,2.0,152.1,Overweight,M,75,256.0
TRAIN_1137,24.0,105.3,98.0,6.0,0.0,187.4,Overweight,M,47,137.0
TRAIN_1138,2.0,100.2,82.0,6.0,3.0,207.2,Overweight,M,22,5.0
TRAIN_1139,26.0,105.4,105.0,5.0,1.0,125.7,Normal Weight,F,62,173.0
TRAIN_1140,5.0,102.2,78.0,6.0,9.0,242.5,Overweight,M,24,11.0
TRAIN_1141,2.0,102.0,73.0,5.0,5.0,138.9,Normal Weight,F,26,5.0
TRAIN_1142,4.0,102.4,76.0,5.0,7.0,145.5,Normal Weight,F,43,12.0
TRAIN_1143,10.0,104.2,90.0,4.0,8.0,108.0,Normal Weight,F,23,45.0
TRAIN_1144,8.0,103.6,92.0,5.0,0.0,119.0,Normal Weight,F,32,38.0
TRAIN_1145,15.0,104.2,94.0,5.0,10.0,167.6,Normal Weight,F,53,76.0
TRAIN_1146,26.0,105.6,113.0,6.0,2.0,185.2,Normal Weight,M,24,178.0
TRAIN_1147,23.0,104.7,113.0,6.0,0.0,200.6,Overweight,M,41,180.0
TRAIN_1148,6.0,102.4,81.0,5.0,10.0,174.2,Overweight,M,72,25.0
TRAIN_1149,6.0,102.9,90.0,5.0,3.0,134.5,Normal Weight,F,63,30.0
TRAIN_1150,30.0,106.0,113.0,5.0,3.0,130.1,Normal Weight,F,45,216.0
TRAIN_1151,28.0,105.4,106.0,5.0,6.0,136.7,Normal Weight,F,32,173.0
TRAIN_1152,3.0,101.5,79.0,5.0,6.0,147.7,Normal Weight,F,49,11.0
TRAIN_1153,11.0,103.6,90.0,4.0,9.0,116.8,Overweight,F,28,50.0
TRAIN_1154,27.0,106.3,98.0,5.0,1.0,112.4,Normal Weight,F,79,170.0
TRAIN_1155,19.0,105.4,111.0,5.0,5.0,143.3,Normal Weight,F,58,135.0
TRAIN_1156,11.0,103.1,89.0,6.0,5.0,207.2,Normal Weight,M,36,44.0
TRAIN_1157,28.0,105.1,115.0,5.0,10.0,178.6,Overweight,F,76,214.0
TRAIN_1158,14.0,104.4,88.0,5.0,11.0,194.0,Overweight,M,50,62.0
TRAIN_1159,29.0,105.1,103.0,6.0,2.0,211.6,Overweight,M,78,238.0
TRAIN_1160,17.0,105.1,98.0,5.0,2.0,132.3,Normal Weight,F,79,105.0
TRAIN_1161,20.0,105.1,108.0,6.0,2.0,211.6,Overweight,M,27,130.0
TRAIN_1162,26.0,105.6,110.0,6.0,4.0,211.6,Overweight,M,43,197.0
TRAIN_1163,15.0,104.4,98.0,6.0,7.0,238.1,Overweight,M,47,93.0
TRAIN_1164,25.0,104.9,109.0,6.0,3.0,216.1,Overweight,M,54,200.0
TRAIN_1165,23.0,105.8,106.0,6.0,4.0,191.8,Normal Weight,M,42,155.0
TRAIN_1166,27.0,105.4,104.0,5.0,10.0,176.4,Overweight,M,47,176.0
TRAIN_1167,16.0,104.5,90.0,5.0,1.0,119.0,Normal Weight,F,33,73.0
TRAIN_1168,9.0,103.6,94.0,5.0,9.0,145.5,Normal Weight,F,21,42.0
TRAIN_1169,26.0,104.7,103.0,5.0,2.0,123.5,Normal Weight,F,20,149.0
TRAIN_1170,12.0,103.8,93.0,5.0,7.0,158.7,Normal Weight,F,68,63.0
TRAIN_1171,12.0,104.4,91.0,5.0,4.0,132.3,Normal Weight,F,39,57.0
TRAIN_1172,3.0,100.6,83.0,5.0,6.0,152.1,Normal Weight,F,23,10.0
TRAIN_1173,28.0,105.4,112.0,5.0,10.0,178.6,Overweight,M,37,203.0
TRAIN_1174,11.0,103.6,98.0,5.0,5.0,147.7,Normal Weight,M,32,51.0
TRAIN_1175,26.0,105.4,108.0,6.0,2.0,200.6,Overweight,M,63,211.0
TRAIN_1176,29.0,105.8,105.0,5.0,11.0,180.8,Overweight,M,26,165.0
TRAIN_1177,16.0,104.4,90.0,5.0,10.0,180.8,Overweight,F,79,80.0
TRAIN_1178,15.0,104.4,92.0,6.0,5.0,222.7,Overweight,M,26,62.0
TRAIN_1179,27.0,105.6,108.0,5.0,10.0,169.8,Normal Weight,M,35,175.0
TRAIN_1180,6.0,102.7,83.0,5.0,10.0,149.9,Normal Weight,F,65,25.0
TRAIN_1181,21.0,104.5,106.0,5.0,3.0,127.9,Normal Weight,F,23,127.0
TRAIN_1182,12.0,103.6,93.0,5.0,0.0,119.0,Normal Weight,F,33,59.0
TRAIN_1183,7.0,102.9,91.0,5.0,10.0,165.3,Normal Weight,F,34,31.0
TRAIN_1184,8.0,103.6,84.0,5.0,2.0,119.0,Normal Weight,F,31,31.0
TRAIN_1185,25.0,105.3,108.0,4.0,11.0,123.5,Normal Weight,F,47,168.0
TRAIN_1186,18.0,105.1,105.0,5.0,8.0,154.3,Normal Weight,F,20,103.0
TRAIN_1187,11.0,104.0,93.0,6.0,1.0,211.6,Overweight,M,76,73.0
TRAIN_1188,28.0,104.9,110.0,5.0,3.0,125.7,Normal Weight,F,59,200.0
TRAIN_1189,23.0,104.7,110.0,5.0,10.0,165.3,Normal Weight,M,71,195.0
TRAIN_1190,14.0,104.7,98.0,5.0,4.0,141.1,Normal Weight,F,28,73.0
TRAIN_1191,13.0,103.8,94.0,5.0,7.0,165.3,Overweight,M,44,62.0
TRAIN_1192,5.0,101.8,84.0,5.0,2.0,132.3,Normal Weight,F,59,22.0
TRAIN_1193,28.0,105.4,108.0,5.0,9.0,152.1,Normal Weight,F,26,173.0
TRAIN_1194,5.0,102.0,85.0,5.0,9.0,160.9,Normal Weight,F,71,22.0
TRAIN_1195,26.0,105.4,105.0,6.0,2.0,185.2,Normal Weight,M,47,175.0
TRAIN_1196,28.0,105.3,114.0,5.0,1.0,119.0,Normal Weight,F,52,210.0
TRAIN_1197,28.0,105.3,104.0,4.0,9.0,101.4,Normal Weight,F,31,172.0
TRAIN_1198,5.0,102.2,86.0,5.0,10.0,183.0,Overweight,M,44,19.0
TRAIN_1199,9.0,103.1,90.0,5.0,5.0,138.9,Normal Weight,F,50,43.0
TRAIN_1200,4.0,102.6,90.0,6.0,9.0,251.3,Overweight,M,33,18.0
TRAIN_1201,13.0,104.2,94.0,5.0,12.0,183.0,Overweight,M,25,52.0
TRAIN_1202,11.0,104.4,93.0,5.0,2.0,127.9,Normal Weight,F,75,62.0
TRAIN_1203,23.0,105.6,101.0,6.0,2.0,194.0,Overweight,M,54,151.0
TRAIN_1204,2.0,100.6,75.0,5.0,8.0,154.3,Normal Weight,F,27,5.0
TRAIN_1205,28.0,105.4,117.0,5.0,6.0,160.9,Overweight,F,29,200.0
TRAIN_1206,27.0,105.1,105.0,6.0,3.0,200.6,Overweight,M,47,186.0
TRAIN_1207,1.0,99.7,79.0,5.0,10.0,205.0,Overweight,M,78,5.0
TRAIN_1208,3.0,101.5,83.0,5.0,9.0,178.6,Overweight,M,64,13.0
TRAIN_1209,16.0,104.9,91.0,5.0,6.0,145.5,Normal Weight,F,27,71.0
TRAIN_1210,6.0,103.1,87.0,5.0,0.0,116.8,Normal Weight,F,38,26.0
TRAIN_1211,12.0,103.6,96.0,6.0,0.0,189.6,Overweight,M,79,84.0
TRAIN_1212,16.0,104.5,95.0,5.0,11.0,183.0,Overweight,M,20,63.0
TRAIN_1213,21.0,105.3,97.0,6.0,4.0,213.8,Overweight,M,20,95.0
TRAIN_1214,21.0,105.3,99.0,5.0,10.0,172.0,Normal Weight,M,58,131.0
TRAIN_1215,10.0,103.5,93.0,6.0,2.0,196.2,Overweight,M,36,45.0
TRAIN_1216,28.0,105.6,112.0,4.0,11.0,114.6,Normal Weight,F,36,197.0
TRAIN_1217,25.0,105.6,103.0,5.0,4.0,138.9,Normal Weight,F,35,147.0
TRAIN_1218,15.0,105.3,96.0,6.0,0.0,185.2,Overweight,M,46,80.0
TRAIN_1219,25.0,105.6,111.0,5.0,7.0,149.9,Normal Weight,F,58,177.0
TRAIN_1220,10.0,103.5,90.0,6.0,2.0,194.0,Normal Weight,M,33,39.0
TRAIN_1221,18.0,105.3,100.0,4.0,11.0,116.8,Normal Weight,F,39,104.0
TRAIN_1222,9.0,103.3,85.0,6.0,1.0,185.2,Normal Weight,F,30,32.0
TRAIN_1223,3.0,101.7,81.0,5.0,7.0,141.1,Normal Weight,F,33,10.0
TRAIN_1224,9.0,103.5,91.0,6.0,2.0,191.8,Normal Weight,M,52,44.0
TRAIN_1225,5.0,102.6,85.0,5.0,10.0,160.9,Normal Weight,M,34,14.0
TRAIN_1226,9.0,103.1,95.0,6.0,2.0,180.8,Normal Weight,M,38,43.0
TRAIN_1227,5.0,102.6,80.0,6.0,4.0,213.8,Overweight,M,64,20.0
TRAIN_1228,29.0,105.1,113.0,6.0,1.0,202.8,Overweight,M,71,269.0
TRAIN_1229,6.0,102.4,89.0,6.0,6.0,207.2,Normal Weight,M,47,27.0
TRAIN_1230,2.0,101.1,75.0,6.0,6.0,224.9,Overweight,M,36,4.0
TRAIN_1231,21.0,105.3,108.0,5.0,10.0,189.6,Overweight,M,70,175.0
TRAIN_1232,15.0,104.4,91.0,6.0,3.0,207.2,Overweight,M,22,55.0
TRAIN_1233,21.0,105.1,99.0,5.0,6.0,160.9,Overweight,M,33,103.0
TRAIN_1234,24.0,105.1,103.0,5.0,1.0,121.3,Normal Weight,F,53,152.0
TRAIN_1235,25.0,105.3,99.0,5.0,11.0,172.0,Normal Weight,M,46,142.0
TRAIN_1236,5.0,102.7,91.0,5.0,5.0,132.3,Normal Weight,F,34,23.0
TRAIN_1237,17.0,105.1,98.0,4.0,10.0,105.8,Normal Weight,F,29,93.0
TRAIN_1238,20.0,105.1,101.0,6.0,4.0,216.1,Overweight,M,44,126.0
TRAIN_1239,21.0,104.7,98.0,5.0,10.0,169.8,Normal Weight,M,37,106.0
TRAIN_1240,15.0,104.7,99.0,5.0,10.0,172.0,Normal Weight,M,20,66.0
TRAIN_1241,16.0,104.5,98.0,5.0,10.0,187.4,Overweight,M,76,114.0
TRAIN_1242,22.0,105.1,96.0,5.0,1.0,125.7,Normal Weight,F,37,116.0
TRAIN_1243,12.0,104.5,86.0,5.0,7.0,145.5,Normal Weight,F,23,46.0
TRAIN_1244,19.0,104.2,91.0,4.0,8.0,105.8,Normal Weight,F,20,86.0
TRAIN_1245,22.0,105.1,104.0,6.0,4.0,213.8,Overweight,M,71,177.0
TRAIN_1246,6.0,102.6,85.0,5.0,5.0,143.3,Normal Weight,F,24,22.0
TRAIN_1247,24.0,105.4,111.0,6.0,3.0,185.2,Normal Weight,M,23,156.0
TRAIN_1248,21.0,105.3,110.0,5.0,9.0,169.8,Overweight,F,20,130.0
TRAIN_1249,15.0,103.8,96.0,5.0,11.0,191.8,Overweight,M,41,77.0
TRAIN_1250,1.0,100.0,81.0,5.0,7.0,154.3,Normal Weight,F,51,4.0
TRAIN_1251,15.0,104.0,91.0,5.0,5.0,138.9,Normal Weight,F,60,76.0
TRAIN_1252,12.0,104.5,94.0,5.0,4.0,141.1,Normal Weight,F,50,62.0
TRAIN_1253,29.0,105.8,115.0,5.0,6.0,138.9,Normal Weight,F,21,201.0
TRAIN_1254,8.0,103.5,88.0,5.0,8.0,165.3,Overweight,M,41,30.0
TRAIN_1255,8.0,103.3,91.0,4.0,11.0,112.4,Normal Weight,F,32,38.0
TRAIN_1256,25.0,104.9,109.0,5.0,3.0,123.5,Normal Weight,F,53,174.0
TRAIN_1257,24.0,105.3,102.0,5.0,1.0,123.5,Normal Weight,F,34,141.0
TRAIN_1258,16.0,104.5,106.0,6.0,6.0,222.7,Overweight,M,39,110.0
TRAIN_1259,9.0,103.5,92.0,5.0,4.0,134.5,Normal Weight,F,28,42.0
TRAIN_1260,14.0,103.5,91.0,5.0,12.0,194.0,Overweight,M,74,84.0
TRAIN_1261,23.0,105.3,102.0,5.0,11.0,163.1,Normal Weight,F,21,124.0
TRAIN_1262,20.0,104.7,104.0,5.0,9.0,165.3,Normal Weight,F,52,123.0
TRAIN_1263,21.0,105.3,96.0,5.0,10.0,176.4,Obese,M,23,87.0
TRAIN_1264,30.0,105.1,111.0,5.0,11.0,158.7,Normal Weight,F,22,192.0
